         7x13E                    (7x13E.dat)
         Interpolated from 7x11E and 7x15E
         Estimation Date: 04/16/2026

         AIRFOIL AERO DATA GENERATED USING:  INTERPOLATION (7x11E + 7x15E)  

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       16.34      0.4929      0.4516      0.1511      0.1646       0.028       0.351       0.289      20.744       0.040       1.286       6.410          0.14     33651.      0.2888
       18.66      0.5633      0.5034      0.1521      0.1698       0.029       0.362       0.291      21.407       0.041       1.294       6.250          0.14     33877.      0.2824
       21.00      0.6337      0.5504      0.1530      0.1759       0.029       0.375       0.292      22.176       0.042       1.302       6.072          0.14     34128.      0.2752
       23.34      0.7041      0.5922      0.1539      0.1827       0.031       0.389       0.294      23.037       0.044       1.309       5.880          0.14     34404.      0.2671
       25.67      0.7744      0.6290      0.1545      0.1901       0.033       0.405       0.295      23.968       0.045       1.315       5.678          0.14     34704.      0.2583
       28.01      0.8449      0.6610      0.1546      0.1978       0.034       0.421       0.295      24.933       0.048       1.316       5.470          0.15     35028.      0.2488
       30.34      0.9153      0.6883      0.1542      0.2053       0.035       0.438       0.294      25.880       0.050       1.312       5.260          0.15     35376.      0.2389
       32.67      0.9856      0.7117      0.1527      0.2120       0.036       0.452       0.292      26.728       0.051       1.300       5.052          0.15     35749.      0.2283
       35.01      1.0561      0.7319      0.1499      0.2171       0.037       0.463       0.287      27.364       0.052       1.276       4.851          0.15     36144.      0.2171
       37.34      1.1265      0.7499      0.1455      0.2194       0.037       0.468       0.278      27.661       0.053       1.238       4.660          0.15     36562.      0.2054
       39.67      1.1969      0.7662      0.1392      0.2184       0.037       0.466       0.267      27.534       0.053       1.185       4.483          0.15     37003.      0.1933
       42.00      1.2673      0.7812      0.1313      0.2140       0.036       0.456       0.252      26.977       0.051       1.117       4.317          0.15     37464.      0.1808
       44.34      1.3377      0.7944      0.1221      0.2065       0.035       0.440       0.233      26.035       0.050       1.039       4.160          0.15     37946.      0.1680
       46.67      1.4081      0.8052      0.1119      0.1964       0.033       0.418       0.214      24.761       0.047       0.952       4.006          0.15     38446.      0.1548
       49.01      1.4786      0.8125      0.1008      0.1841       0.031       0.393       0.193      23.209       0.044       0.857       3.851          0.15     38964.      0.1412
       51.34      1.5490      0.8153      0.0891      0.1699       0.029       0.362       0.170      21.416       0.041       0.758       3.688          0.15     39497.      0.1272
       53.67      1.6193      0.8117      0.0769      0.1540       0.026       0.328       0.147      19.412       0.037       0.654       3.512          0.15     40046.      0.1125
       56.00      1.6898      0.7990      0.0644      0.1366       0.023       0.291       0.123      17.223       0.033       0.547       3.312          0.15     40610.      0.0970
       58.34      1.7601      0.7722      0.0516      0.1180       0.020       0.252       0.099      14.870       0.029       0.439       3.072          0.15     41188.      0.0806
       60.67      1.8305      0.7228      0.0387      0.0982       0.017       0.209       0.074      12.378       0.024       0.329       2.762          0.17     41779.      0.0628
       63.00      1.9009      0.6316      0.0257      0.0774       0.013       0.166       0.050       9.766       0.019       0.219       2.321          0.17     42383.      0.0430
       65.34      1.9714      0.4504      0.0128      0.0560       0.009       0.119       0.025       7.059       0.013       0.109       1.591          0.17     42999.      0.0208
       67.67      2.0418      0.0044      0.0001      0.0340       0.005       0.073       0.000       4.285       0.008       0.001       0.014          0.17     43628.      0.0000



         PROP RPM =       6000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1497      0.1499       0.043       0.460       0.412      32.648       0.052       1.834       5.858          0.17     39264.      0.3155
        2.81      0.0706      0.0703      0.1492      0.1498       0.044       0.460       0.411      32.625       0.052       1.829       5.835          0.17     39350.      0.3137
        5.61      0.1411      0.1399      0.1489      0.1502       0.044       0.461       0.410      32.709       0.052       1.825       5.800          0.17     39456.      0.3116
        8.41      0.2116      0.2082      0.1490      0.1512       0.044       0.464       0.410      32.931       0.052       1.825       5.753          0.17     39588.      0.3091
       11.22      0.2822      0.2749      0.1492      0.1529       0.044       0.470       0.411      33.314       0.053       1.829       5.690          0.17     39744.      0.3059
       14.03      0.3527      0.3389      0.1497      0.1555       0.045       0.478       0.412      33.877       0.054       1.835       5.609          0.17     39929.      0.3020
       16.83      0.4232      0.3997      0.1505      0.1590       0.046       0.488       0.414      34.634       0.055       1.844       5.509          0.17     40142.      0.2973
       19.64      0.4937      0.4565      0.1514      0.1634       0.048       0.502       0.417      35.590       0.057       1.855       5.390          0.17     40384.      0.2917
       22.44      0.5643      0.5087      0.1523      0.1687       0.049       0.517       0.420      36.742       0.058       1.866       5.255          0.17     40656.      0.2852
       25.24      0.6348      0.5560      0.1533      0.1748       0.052       0.536       0.422      38.079       0.060       1.878       5.104          0.17     40958.      0.2778
       28.05      0.7053      0.5981      0.1542      0.1817       0.053       0.557       0.424      39.575       0.063       1.889       4.941          0.17     41290.      0.2696
